YEAR;North;Northeast;Southeast;South;Central-west;Brazil
2009;15966385;53781518;81392745;27718453;14121804;192980905
2010;16246130;54215569;82155595;27921126;14352262;194890682
2011;16490166;54552181;82851649;28142851;14566885;196603732
2012;16732473;54878774;83555019;28367578;14781090;198314934
2013;16971695;55188574;84252766;28594975;14996178;200004188
2014;17214537;55500820;84956931;28827960;15217293;201717541
2015;17458469;55828194;85679246;29067145;15442629;203475683
2016;17691399;56138510;86367683;29300208;15658787;205156587
2017;17929800;56442149;87035037;29526869;15870886;206804741
2018;18182253;56760780;87711946;29754036;16085885;208494900
2019;18430980;57071654;88371433;29975984;16297074;210147125
2020;18672591;57374243;89012240;30192315;16504303;211755692
2021;18906962;57667842;89632912;30402587;16707336;213317639
2022;18906962;57667842;89632912;30402587;16707336;213317639
2023;18669345;57112096;88617693;31113021;17071595;212583750
